0,1,2,3,4
200.0,514.0,400.0,991.0,644.0
201.0,518.0,399.0,991.0,644.0
202.0,522.0,397.0,991.0,644.0
203.0,525.0,392.0,991.0,643.0
204.0,526.0,396.0,989.0,638.0
205.0,521.0,397.0,991.0,638.0
206.0,514.0,384.0,1012.0,644.0
207.0,515.0,380.0,1013.0,644.0
208.0,516.0,378.0,1013.0,644.0
209.0,523.0,387.0,992.0,639.0
210.0,526.0,388.0,992.0,640.0
211.0,528.0,386.0,991.0,641.0
212.0,530.0,383.0,990.0,641.0
213.0,518.0,372.0,1015.0,646.0
214.0,523.0,361.0,991.0,646.0
215.0,527.0,366.0,987.0,644.0
216.0,527.0,356.0,987.0,644.0
217.0,516.0,340.0,1000.0,645.0
217.0,435.0,113.0,1038.0,657.0
218.0,519.0,340.0,998.0,647.0
218.0,433.0,115.0,1044.0,659.0
219.0,519.0,344.0,999.0,647.0
219.0,441.0,114.0,1048.0,662.0
220.0,521.0,343.0,997.0,640.0
220.0,445.0,116.0,1050.0,659.0
221.0,522.0,347.0,1001.0,643.0
221.0,445.0,108.0,1055.0,657.0
222.0,522.0,355.0,1017.0,638.0
222.0,444.0,105.0,1053.0,652.0
223.0,526.0,350.0,1008.0,639.0
224.0,466.0,284.0,1036.0,638.0
225.0,423.0,294.0,1037.0,643.0
226.0,405.0,289.0,1037.0,644.0
227.0,412.0,284.0,1029.0,635.0
228.0,569.0,341.0,968.0,600.0
228.0,405.0,267.0,1032.0,614.0
229.0,598.0,394.0,950.0,575.0
229.0,386.0,233.0,1010.0,597.0
230.0,379.0,181.0,1039.0,593.0
231.0,375.0,148.0,1026.0,542.0
232.0,375.0,121.0,1016.0,538.0
233.0,372.0,97.0,1017.0,506.0
234.0,377.0,90.0,981.0,460.0
235.0,384.0,90.0,977.0,389.0
236.0,378.0,79.0,944.0,343.0
237.0,393.0,71.0,947.0,310.0
238.0,384.0,90.0,923.0,267.0
239.0,393.0,81.0,922.0,228.0
240.0,387.0,77.0,898.0,189.0
